,acousticness,album_uri,analysis_url,artist,available_markets,danceability,disc_number,duration_ms_x,duration_ms_y,energy,explicit,href,id,instrumentalness,is_local,key,liveness,loudness,mode,name,popularity,preview_url,release_date,speechiness,tempo,time_signature,track_number,uri,valence
0,0.0527,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/4vVb2D6RYL669h7tLYOKwx,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.613,1,208186,208187,0.764,False,https://api.spotify.com/v1/tracks/4vVb2D6RYL669h7tLYOKwx,4vVb2D6RYL669h7tLYOKwx,0.0,False,2,0.197,-6.509,1,...Ready For It?,78,,2017-11-10,0.136,160.015,4,1,spotify:track:4vVb2D6RYL669h7tLYOKwx,0.417
1,0.00845,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/3JbSLr2OhsivV46whJyGeb,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.649,1,244826,244827,0.589,False,https://api.spotify.com/v1/tracks/3JbSLr2OhsivV46whJyGeb,3JbSLr2OhsivV46whJyGeb,0.0,False,2,0.108,-6.237,1,End Game,81,,2017-11-10,0.0558,159.073,4,2,spotify:track:3JbSLr2OhsivV46whJyGeb,0.151
2,0.0679,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/3TcMyNevhQZ35yaA8jHSBq,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.696,1,238253,238253,0.602,False,https://api.spotify.com/v1/tracks/3TcMyNevhQZ35yaA8jHSBq,3TcMyNevhQZ35yaA8jHSBq,2.11e-05,False,0,0.0696,-6.156,0,I Did Something Bad,72,,2017-11-10,0.159,82.989,4,3,spotify:track:3TcMyNevhQZ35yaA8jHSBq,0.305
3,0.106,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/0OnfGJsCc1m9utfUYqid6O,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.615,1,236413,236413,0.534,False,https://api.spotify.com/v1/tracks/0OnfGJsCc1m9utfUYqid6O,0OnfGJsCc1m9utfUYqid6O,1.76e-05,False,9,0.0607,-6.719,0,Don?t Blame Me,70,,2017-11-10,0.0386,135.917,4,4,spotify:track:0OnfGJsCc1m9utfUYqid6O,0.193
4,0.216,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/7CneiDesUKFJO3Ix01dnfr,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.75,1,232253,232253,0.404,False,https://api.spotify.com/v1/tracks/7CneiDesUKFJO3Ix01dnfr,7CneiDesUKFJO3Ix01dnfr,0.000357,False,9,0.0911,-10.178,0,Delicate,84,,2017-11-10,0.0682,95.045,4,5,spotify:track:7CneiDesUKFJO3Ix01dnfr,0.0499
5,0.204,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/5troof8mcGO3AafoDbk1gc,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.766,1,211853,211853,0.709,False,https://api.spotify.com/v1/tracks/5troof8mcGO3AafoDbk1gc,5troof8mcGO3AafoDbk1gc,1.41e-05,False,9,0.126,-6.471,0,Look What You Made Me Do,81,,2017-11-10,0.123,128.07,4,6,spotify:track:5troof8mcGO3AafoDbk1gc,0.506
6,0.122,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/0cdQJyb7pZJMw9obUd8lue,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.574,1,227906,227907,0.61,False,https://api.spotify.com/v1/tracks/0cdQJyb7pZJMw9obUd8lue,0cdQJyb7pZJMw9obUd8lue,1.1e-06,False,2,0.13,-7.283,1,So It Goes...,67,,2017-11-10,0.0732,74.957,4,7,spotify:track:0cdQJyb7pZJMw9obUd8lue,0.374
7,0.0713,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/7ut4Y7gxOFe3d3rLJQ7i5w,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.8,1,209680,209680,0.535,False,https://api.spotify.com/v1/tracks/7ut4Y7gxOFe3d3rLJQ7i5w,7ut4Y7gxOFe3d3rLJQ7i5w,9.48e-06,False,7,0.213,-6.684,1,Gorgeous,78,,2017-11-10,0.135,92.027,4,8,spotify:track:7ut4Y7gxOFe3d3rLJQ7i5w,0.451
8,0.00465,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/5YPTYLMdNEgk7CPNPqqFyA,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.562,1,233626,233627,0.689,False,https://api.spotify.com/v1/tracks/5YPTYLMdNEgk7CPNPqqFyA,5YPTYLMdNEgk7CPNPqqFyA,2.23e-06,False,2,0.0888,-6.745,1,Getaway Car,70,,2017-11-10,0.127,172.054,4,9,spotify:track:5YPTYLMdNEgk7CPNPqqFyA,0.351
9,0.00882,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/0d9BBAvHC8DjidkKmKBNms,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.675,1,214320,214320,0.703,False,https://api.spotify.com/v1/tracks/0d9BBAvHC8DjidkKmKBNms,0d9BBAvHC8DjidkKmKBNms,2.21e-06,False,0,0.0391,-7.902,1,King Of My Heart,67,,2017-11-10,0.0382,110.01,4,10,spotify:track:0d9BBAvHC8DjidkKmKBNms,0.314
