,Artist,Track Name,Region,Streams,Max_rank
0,#TocoParaVos,Bailemos juntos,uy,1005,197
1,#TocoParaVos,Enganchado #TocoParaVos - Cumbia Mix,ar,39733,162
2,#TocoParaVos,Enganchado #TocoParaVos - Cumbia Mix,uy,31734,127
3,#TocoParaVos,Hasta la luna,ar,2143184,67
4,#TocoParaVos,Hasta la luna,uy,218195,60
5,#TocoParaVos,Me provoca (Noche loca),uy,74753,42
6,#TocoParaVos,Su fiel admirador,uy,1026,191
7,#TocoParaVos,Sólo necesito,ar,14397,196
8,#TocoParaVos,Sólo necesito,uy,2530,114
9,#TocoParaVos,Tan infinito,uy,82590,70
10,#TocoParaVos,Tengo un vicio,uy,343298,33
11,#TocoParaVos,Tu beso y tu piel (feat. Gustas Mio),ar,13425,191
12,#TocoParaVos,Tu beso y tu piel (feat. Gustas Mio),uy,31347,84
13,#TocoParaVos,Uh amor (feat. Lionel Ferro),ar,13659,186
14,#TocoParaVos,Uh amor (feat. Lionel Ferro),uy,209867,54
15,#TocoParaVos,Una historia,ar,32446,117
16,#TocoParaVos,Una historia,uy,12852,76
17,#TocoParaVos,Vale la pena,ar,50993,181
18,#TocoParaVos,Vale la pena,uy,168696,63
19,$uicideBoy$,Paris,fi,17598,164
20,$uicideBoy$,South Side Suicide (feat. Pouya),fi,26660,159
21,*NSYNC,Bye Bye Bye,gb,40381,177
22,*NSYNC,"Merry Christmas, Happy Holidays",at,167900,15
23,*NSYNC,"Merry Christmas, Happy Holidays",au,89263,136
24,*NSYNC,"Merry Christmas, Happy Holidays",be,25890,88
25,*NSYNC,"Merry Christmas, Happy Holidays",ca,148178,108
26,*NSYNC,"Merry Christmas, Happy Holidays",ch,118755,16
27,*NSYNC,"Merry Christmas, Happy Holidays",cz,7169,143
28,*NSYNC,"Merry Christmas, Happy Holidays",de,2324093,14
29,*NSYNC,"Merry Christmas, Happy Holidays",dk,34675,121
30,*NSYNC,"Merry Christmas, Happy Holidays",es,27258,192
31,*NSYNC,"Merry Christmas, Happy Holidays",gb,76218,175
32,*NSYNC,"Merry Christmas, Happy Holidays",global,2985809,74
33,*NSYNC,"Merry Christmas, Happy Holidays",gr,2130,104
34,*NSYNC,"Merry Christmas, Happy Holidays",hk,5020,124
35,*NSYNC,"Merry Christmas, Happy Holidays",hu,20588,99
36,*NSYNC,"Merry Christmas, Happy Holidays",it,114623,65
37,*NSYNC,"Merry Christmas, Happy Holidays",lv,1016,146
38,*NSYNC,"Merry Christmas, Happy Holidays",nl,144729,82
39,*NSYNC,"Merry Christmas, Happy Holidays",nz,12018,141
40,*NSYNC,"Merry Christmas, Happy Holidays",pt,2986,198
41,*NSYNC,"Merry Christmas, Happy Holidays",sg,10304,160
42,*NSYNC,"Merry Christmas, Happy Holidays",us,1081292,105
43,*NSYNC,This I Promise You,my,3867,171
44,*NSYNC,This I Promise You,ph,40039,160
45,-M-,Douce Nuit,fr,43037,147
46,070 Shake,Honey,no,31035,166
47,100%,Sketch U,tw,2465,188
48,101Barz,Zomersessie,nl,58163,170
49,101Barz,Zomersessie (feat. 3robi),nl,23106,138
