,lyrics,title
0,"[Chorus]She played the fiddle in an Irish bandBut she fell in love with an English manKissed her on the neck and then I took her by the handSaid, ""Baby, I just want to dance""[Verse 1]I met her on Grafton street right outside of the barShe shared a cigarette with me while her brother played the guitarShe asked me what does it mean, the Gaelic ink on your arm?Said it was one of my friend's songs, do you want to drink on?She took Jamie as a chaser, Jack for the funShe got Arthur on the table with Johnny riding a shotgunChatted some more, one more drink at the barThen put Van on the jukebox, got up to dance[Chorus]You know, she played the fiddle in an Irish bandBut she fell in love with an English manKissed her on the neck and then I took her by the handSaid, ""Baby, I just want to dance""With my pretty little Galway GirlYou're my pretty little Galway Girl[Verse 2]You know she beat me at darts and then she beat me at poolAnd then she kissed me like there was nobody else in the roomAs last orders were called was when she stood on the stoolAfter dancing the céili singing to trad tunesI never heard Carrickfergus ever sung so sweetA cappella in the bar using her feet for a beatOh, I could have that voice playing on repeat for a weekAnd in this packed out room swear she was singing to me[Chorus]You know, she played the fiddle in an Irish bandBut she fell in love with an English manKissed her on the neck and then I took her by the handSaid, ""Baby, I just want to dance""My pretty little Galway GirlMy, my, my, my, my, my, my Galway GirlMy, my, my, my, my, my, my Galway GirlMy, my, my, my, my, my, my Galway Girl[Verse 3]And now we've outstayed our welcome and it's closing timeI was holding her hand, her hand was holding mineOur coats both smell of smoke, whisky and wineAs we fill up our lungs with the cold air of the nightI walked her home then she took me insideTo finish some Doritos and another bottle of wineI swear I'm gonna put you in a song that I writeAbout a Galway Girl and a perfect night[Chorus]She played the fiddle in an Irish bandBut she fell in love with an English manKissed her on the neck and then I took her by the handSaid, ""Baby, I just want to dance""My pretty little Galway GirlMy, my, my, my, my, my, my Galway GirlMy, my, my, my, my, my, my Galway GirlMy, my, my, my, my, my, my Galway Girl",galway girl
1,"[Verse 1: Troye Sivan]I woke up pissed off todayAnd lately, everyone feels fakeSomewhere, I lost a piece of meSmoking cigarettes on balconies[Pre-Chorus: Troye Sivan]But I can't do this aloneSometimes I just need a lightIf I call you on the phoneNeed you on the other side[Chorus: Troye Sivan]So when your tears roll down your pillow like a riverI'll be there for youI'll be there for youWhen you're screaming, but they only hear you whisperI'll be loud for youBut you gotta be there for me too[Breakdown: Troye Sivan]But you gotta be there for me too[Verse 2: Troye Sivan]Last year took a toll on meBut I made it with you next to meAround the world and back againI hope you're waiting at the end[Pre-Chorus: Troye Sivan]But I can't do this aloneSometimes I just need a lightIf I call you on the phoneNeed you on the other side[Chorus: Troye Sivan]So when your tears roll down your pillow like a riverI'll be there for youI'll be there for youWhen you're screaming, but they only hear you whisperI'll be loud for youBut you gotta be there for me too[Bridge: Troye Sivan]I got you, I promiseLet me be honestLove is a road that goes both waysWhen your tears roll down your pillow like a riverI'll be there for youBut you gotta be there for me too[Breakdown: Troye Sivan]But you gotta be there for me too[Bridge: Troye Sivan]Boy, I'm holding on to somethingWon't let go of you for nothingI'm running, running, just to keep my hands on youThere was a time that I was so blueWhat I got to do to show youI'm running, running, just to keep my hands on youRunning, running, just to keep my hands on youRunning, running, just to keep my hands on youSo I'm running, running, just to keep my hands on youBut you gotta be there for me too[Breakdown: Troye Sivan]But you gotta be there for me too",there for you
2,"[Verse 1]I found a love for meOh darling, just dive right in and follow my leadWell, I found a girl, beautiful and sweetOh, I never knew you were the someone waiting for me'Cause we were just kids when we fell in loveNot knowing what it wasI will not give you up this timeBut darling, just kiss me slow, your heart is all I ownAnd in your eyes, you're holding mine[Chorus]Baby, I'm dancing in the dark with you between my armsBarefoot on the grass, listening to our favourite songWhen you said you looked a mess, I whispered underneath my breathBut you heard it, darling, you look perfect tonight[Verse 2]Well I found a woman, stronger than anyone I knowShe shares my dreams, I hope that someday I'll share her homeI found a love, to carry more than just my secretsTo carry love, to carry children of our ownWe are still kids, but we're so in loveFighting against all oddsI know we'll be alright this timeDarling, just hold my handBe my girl, I'll be your manI see my future in your eyes[Chorus 2]Baby, I'm dancing in the dark, with you between my armsBarefoot on the grass, listening to our favorite songWhen I saw you in that dress, looking so beautifulI don't deserve this, darling, you look perfect tonight[Instrumental][Chorus 3]Baby, I'm dancing in the dark, with you between my armsBarefoot on the grass, listening to our favorite songI have faith in what I seeNow I know I have met an angel in personAnd she looks perfectI don't deserve thisYou look perfect tonight",perfect
3,"[Verse 1: Louis Tomlinson]Wish that you could build a time machineSo you could seeThe things no one can seeFeels like you're standing on the edgeLooking at the starsAnd wishing you were them[Pre-Chorus: Louis Tomlinson]‪What do you do when a chapter ends?‬‪Do you close the book and never read it again?‬‪Where do you go when your story's done?‬‪You can be who you were or who you'll become‬Oh-oh-oh, oh-oh-oh oh, if it all goes wrong‬Oh-oh-oh, oh-oh-oh oh, darling just hold on‬[Chorus: Louis Tomlinson]‪The sun goes down and it comes back up‬‪The world it turns no matter what‬Oh-oh-oh, oh-oh-oh oh, if it all goes wrongDarling, just hold on[Post-Chorus: Louis Tomlinson]Oh-oh-oh, oh-oh-oh oh, darling, just hold onOh-oh-oh, oh-oh-oh oh[Verse 2: Louis Tomlinson]It's not over 'til it's all been said‬‪It's not over 'til your dying breath‬‪So what do you want them to say when you're gone?‬‪That you gave up or that you kept going on?‬[Pre-Chorus: Louis Tomlinson]‪What do you do when a chapter ends?‬‪Do you close the book and never read it again?‬‪Where do you go when your story's done?‬‪You can be who you were or who you'll become‬Oh-oh-oh, oh-oh-oh oh, ‪if it all goes wrong‬Oh-oh-oh, oh-oh-oh oh, darling just hold on‬[Chorus: Louis Tomlinson]‪The sun goes down and it comes back up‬‪The world it turns no matter what‬Oh-oh-oh, oh-oh-oh oh, if it all goes wrongDarling, just hold on[Post-Chorus: Louis Tomlinson]Oh-oh-oh, oh-oh-oh ohDarling, just hold onOh-oh-oh, oh-oh-oh ohIf it all goes wrongOh-oh-oh, oh-oh-oh ohDarling just hold on[Outro: Louis Tomlinson]Oh-oh-oh, oh-oh-oh ohIf it all goes wrong, darling just hold on",just hold on
4,"Letra de ""Chantaje"" ft. Maluma[Translation][Verso 1: Maluma]Cuando estás bien te alejas de míTe sientes sola y siempre estoy ahíEs una guerra de toma y damePues dame de eso que tienes ahíOye baby, no seas malaNo me dejes con las ganasSe escucha en la calleQue ya no me quieresVen y dímelo en la cara[Pre-Coro: Shakira, Maluma]Pregúntale a quien tú quierasVida, te juro que eso no es asíYo nunca tuve una mala intenciónYo nunca quise burlarme de tiConmigo ves, nunca se sabeUn día digo que no y otro que síYo soy masoquistaCon mi cuerpo un egoísta[Coro: Ambos, Shakira, Maluma]Tú eres puro, puro chantajePuro, puro chantajeSiempre es a tu maneraYo te quiero aunque no quieraTú eres puro, puro chantajePuro, puro chantajeVas libre como el aireNo soy de ti ni de nadie[Verso 2: Maluma, Shakira]Como tú me tientas, cuando tú te muevesEsos movimientos sexys, siempre me entretienenSabes manipularme bien con tus caderasNo sé porque me tienes en lista de esperaTe dicen por ahí que voy haciendo y deshaciendoQue salgo cada noche, que te tengo ahí sufriendoQue en esta relación soy yo la que mandaNo pares bola' a toda esa mala propaganda[Puente: Maluma, Shakira]Pa', pa' que te digo na', te comen el oídoNo vaya a enderezar lo que no se ha torcidoY como un loco sigo tras de ti, muriendo por tiDime qué hay pa' mí, bebé (¿Qué?)[Pre-Coro: Maluma, Shakira]Pregúntale a quien tú quierasVida, te juro que eso no es asíYo nunca tuve una mala intenciónYo nunca quise burlarme de tiConmigo ves, nunca se sabeUn día digo que no, y otro que síYo soy masoquistaCon mi cuerpo un egoísta[Coro: Ambos, Maluma, Shakira]Tú eres puro, puro chantajePuro, puro chantajeSiempre es a tu maneraYo te quiero aunque no quieraTú eres puro, puro chantajePuro, puro chantajeVas libre como el aireNo soy de ti ni de nadie[Post-Coro: Ambos, Shakira]Eh-eh-eh, nadieEh-eh-eh, nadieEh-eh-eh, nadieCon mi cuerpo, un egoísta[Coro: Ambos, Maluma, Shakira]Tú eres puro, puro chantajePuro, puro chantajeSiempre es a tu maneraYo te quiero aunque no quieraTú eres puro, puro chantajePuro, puro chantajeVas libre como el aireNo soy de ti ni de nadie[Post-Coro: Ambos, Shakira]Eh-eh-eh, nadieEh-eh-eh, nadieEh-eh-eh, nadieEh-eh-eh-eh-eh-eh[Outro: Maluma, Shakira](Alright alright baby, Shakira, Maluma) Pretty boy(You're my baby loba, Colombia, You feel me?) Pretty boy",chantaje
5,"[Verse 1]I woke up with a fear this morningBut I can taste you on the tip of my tongueAlarm without no warningYou’re by my side and we’ve got smoke in our lungs[Pre-Chorus 1]Last night we were way up, kissing in the back of the cabAnd then you say, “Love, baby, let’s go back to my flat”And when we wake up, never had a feeling like thatI got a reason, so man, put that record on again[Chorus]I don’t wanna hear sad songs anymoreI only wanna hear love songsI found my heart up in this place tonightDon’t wanna sing mad songs anymoreOnly wanna sing your song’Cause your song’s got me feeling like I’m[Post-Chorus]I’m in love, I’m in love, I’m in loveYeah, you know, your song’s got me feeling like I’m[Verse 2]No fear but I think I’m falling, I’m not proudBut I’m usually the type of girl that would hit and runNo risk so I think I’m all-inWhen I kiss your lips, feel my heartbeat thump[Pre-Chorus 2]And now we’re way up, dancing on the roof of the houseAnd then we make love, right there on your best friend’s couchAnd then you say “Love, this is what it’s all about”So keep on kissing my mouth and put that record on again[Chorus]I don’t wanna hear sad songs anymoreI only wanna hear love songsI found my heart up in this place tonightDon’t wanna sing mad songs anymoreOnly wanna sing your song’Cause your song’s got me feeling like I’m[Post-Chorus]I’m in love, I’m in love, I’m in loveI’m in love, I’m in love, I’m in loveI’m in love, I’m in love, I’m in loveYeah, you know your song’s got me feeling like I’m[Bridge]I don’t wanna hear sad songs anymoreI only wanna hear love songsI found my heart up in this place tonightDon’t wanna sing mad songs anymoreOnly wanna sing your song’Cause your song’s got me feeling like I’m[Chorus]I don’t wanna hear sad songs anymoreI only wanna hear love songsI found my heart up in this place tonightDon’t wanna sing mad songs anymoreOnly wanna sing your song’Cause your song’s got me feeling like I’m[Post-Chorus]I’m in love, I’m in love, I’m in loveI’m in love, I’m in love, I’m in loveI’m in love, I’m in love, I’m in loveYeah, you know your song’s got me feeling like I’m",your song
6,"Letra del remix de ""Despacito"" con Justin Bieber, Luis Fonsi y Daddy Yankee[English Translation][Intro: Justin Bieber]Comin' over in my directionSo thankful for that, it's such a blessin', yeahTurn every situation into heaven, yeahOh-oh, you areMy sunrise on the darkest dayGot me feelin' some kind of wayMake me wanna savor every moment slowly, slowlyYou fit me tailor-made, love how you put it onGot the only key, know how to turn it onThe way you nibble on my ear, the only words I wanna hearBaby, take it slow so we can last long[Verso 1: Luis Fonsi & Daddy Yankee]¡Oh! Tú, tú eres el imán y yo soy el metalMe voy acercando y voy armando el planSólo con pensarlo se acelera el pulso (oh yeah)Ya, ya me está gustando más de lo normalTodos mis sentidos van pidiendo másEsto hay que tomarlo sin ningún apuro[Coro: Justin Bieber & Luis Fonsi / Daddy Yankee]DespacitoQuiero respirar tu cuello despacitoDeja que te diga cosas al oídoPara que te acuerdes si no estás conmigoDespacitoQuiero desnudarte a besos despacitoFirmo en las paredes de tu laberintoY hacer de tu cuerpo todo un manuscrito(Sube, sube, subeSube, sube)[Post-Coro: Luis Fonsi & Daddy Yankee]Quiero ver bailar tu pelo, quiero ser tu ritmo (woah, woah)Que le enseñes a mi boca (woah, woah)Tus lugares favoritos (favorito, favorito, baby)Déjame sobrepasar tus zonas de peligro (woah, woah)Hasta provocar tus gritos (woah, woah)Y que olvides tu apellido[Verso 2: Daddy Yankee]Si te pido un beso, ven, dámelo, yo sé que estás pensándoloLlevo tiempo intentándolo, mami, esto es dando y dándoloSabes que tu corazón conmigo te hace bom, bomSabes que esa beba está buscando de mi bom, bomVen, prueba de mi boca para ver cómo te sabeQuiero, quiero, quiero ver cuánto amor a ti te cabeYo no tengo prisa, yo me quiero dar el viajeEmpecemos lento, después salvaje[Pre-Coro: Daddy Yankee & Justin Bieber / Daddy Yankee]Pasito a pasito, suave suavecitoNos vamos pegando, poquito a poquitoCuando tú me besas con esa destrezaVeo que eres malicia con delicadezaPasito a pasito, suave suavecitoNos vamos pegando, poquito a poquitoY es que esa belleza es un rompecabezasPero pa' montarlo aquí tengo la pieza¡Oye![Coro: Justin Bieber & Luis Fonsi / Daddy Yankee]DespacitoQuiero respirar tu cuello despacitoDeja que te diga cosas al oídoPara que te acuerdes si no estás conmigoDespacitoQuiero desnudarte a besos despacitoFirmo en las paredes de tu laberintoY hacer de tu cuerpo todo un manuscrito(Sube, sube, subeSube, sube)[Post-Coro: Luis Fonsi & Daddy Yankee]Quiero ver bailar tu pelo, quiero ser tu ritmo (woah, woah)Que le enseñes a mi boca (woah, woah)Tus lugares favoritos (favorito, favorito, baby)Déjame sobrepasar tus zonas de peligro (woah, woah)Hasta provocar tus gritos (woah, woah)Y que olvides tu apellido[Puente: Luis Fonsi]DespacitoThis is how we do it down in Puerto RicoI just wanna hear you screaming, ""¡Ay, Bendito!""I can move forever cuando esté contigo¡Bailalo![Post-Coro: Daddy Yankee, Luis Fonsi & Justin Bieber]Pasito a pasito, suave suavecitoNos vamos pegando, poquito a poquitoQue le enseñes a mi bocaTus lugares favoritos(Favorito, favorito, baby)Pasito a pasito, suave suavecitoNos vamos pegando, poquito a poquitoHasta provocar tus gritos (Fonsi)Y que olvides tu apellido (D.Y.)Despacito",despacito (featuring daddy yankee)
7,"[Intro: Post Malone]HahahahahaTank GodAyy, ayy[Chorus: Post Malone]I've been fuckin' hoes and poppin' pilliesMan, I feel just like a rockstar (star, ayy, ayy)All my brothers got that gasAnd they always be smokin' like a Rasta (-sta)Fuckin' with me, call up on a UziAnd show up, man, them the shottas (-tas)When my homies pull up on your blockThey make that thing go grrra-ta-ta-ta (ta, pow, pow, pow, ayy, ayy)[Verse 1: Post Malone]Switch my whip, came back in blackI'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy)Close that door, we blowin' smokeShe ask me light a fire like I'm Morrison (-son, ayy)Act a fool on stageProlly leave my fuckin' show in a cop car (car, ayy)Shit was legendaryThrew a TV out the window of the MontageCocaine on the table, liquor pourin', don't give a damnDude, your girlfriend is a groupie, she just tryna get inSayin', ""I'm with the band"" (ayy, ayy)Now she actin' outta pocket, tryna grab up on my pantsHundred bitches in my trailer say they ain't got a manAnd they all brought a friend (yeah, ayy, ayy, ayy)[Chorus: Post Malone]I've been fuckin' hoes and poppin' pilliesMan, I feel just like a rockstar (star, ayy, ayy)All my brothers got that gasAnd they always be smokin' like a Rasta (-sta)Fuckin' with me, call up on a UziAnd show up, man, them the shottas (-tas)When my homies pull up on your blockThey make that thing go grrra-ta-ta-ta (ta, pow, pow, pow)[Verse 2: 21 Savage]I've been in the Hills fuckin' superstarsFeelin' like a popstar (21, 21, 21)Drankin' Henny, bad bitches jumpin' in the poolAnd they ain't got on no bra (bra)Hit her from the back, pullin' on her tracksAnd now she screamin' out, ""¡No más!"" (yeah, yeah, yeah)They like, ""Savage, why you got a twelve car garageAnd you only got six cars?"" (21)I ain't with the cakin', how you kiss that? (kiss that?)Your wifey say I'm lookin' like a whole snack (big snack)Green hundreds in my safe, I got old racks (old racks)L.A. bitches always askin', ""Where the coke at?"" (21, 21)Livin' like a rockstar, smash out on a cop carSweeter than a Pop-Tart, you know you are not hardI done made the hot chart, 'member I used to trap hardLivin' like a rockstar, I'm livin' like a rockstar (ayy)[Chorus: Post Malone & 21 Savage]I've been fuckin' hoes and poppin' pilliesMan, I feel just like a rockstar (star, ayy, ayy)All my brothers got that gasAnd they always be smokin' like a Rasta (-sta, yeah, yeah, yeah, yeah)Fuckin' with me, call up on a UziAnd show up, man, them the shottas (-tas)When my homies pull up on your blockThey make that thing go grrra-ta-ta-ta (ta, grrra-ta-ta-ta-ta)[Outro: Post Malone]Star, star, rockstar, rockstar, starRockstarRockstar, feel just like a rock...RockstarRockstarRockstarFeel just like a...",rockstar
8,"[Justin Bieber]Everybody gets high sometimesYou knowWhat else can we do whenWe're feeling lowSo take a deep breathAnd let it goYou shouldn't beDrowning on your ownAnd if you feel you're sinkingI will jump right overInto cold, coldWater for youAnd although time may take usInto different placesI will still bePatient with youAnd I hope you knowI won't let goI'll be your lifeline, tonightI won't let goI'll be your lifeline, tonightCause we all get lostSometimes you knowIt's how we learnAnd how we growAnd I wanna lay withUntil I'm oldYou shouldn't be fightingOn your ownAnd if you feel you're sinkingI will jump right overInto cold, coldWater for youAnd although time may take usInto different placesI will still bePatient with youAnd I hope you knowI won't let go (I won't let go, no, no, no more)I'll be your lifeline, tonightI won't let goI'll be your lifeline, tonight[MØ]Come on, Come onSave me from the rocking boatI just wanna stay afloatI'm all aloneAnd I hope, I hopeSomeone's gonna take me homeSomewhere I can rest my soul (rest my soul)I need to know, you won't let go[Justin Bieber](I won't let go, no, no, no more)I'll be your lifeline, tonight[MØ]You won't let go[Justin Bieber]I'll be your lifeline, tonightI won't let goI won't let go, go",cold water (feat. justin bieber & mø)
9,"[Verse 1]DaylightI wake up feeling like you won't play rightI used to know, but now that shit don't feel rightIt made me put away my prideSo longYou made a nigga wait for some, so longYou make it hard for boy like that to go onI'm wishing I could make this mine, oh[Pre-Chorus]If you want it, yeahYou can have it, oh, oh, ohIf you need it, oohWe can make it, ohIf you want itYou can have it[Chorus]But stay wokeNiggas creepin'They gon' find youGon' catch you sleepin' (ooh)Now stay wokeNiggas creepin'Now don't you close your eyes[Verse 2]Too lateYou wanna make it right, but now it's too lateMy peanut butter chocolate cake with Kool-AidI'm trying not to waste my time[Pre-Chorus]If you want it, ohYou can have it, you can have itIf you need itYou better believe in somethingWe can make itIf you want itYou can have it, ah![Chorus]But stay woke (stay woke!)Niggas creepin' (they be creepin')They gon' find you (they gon' find you)Gon' catch you sleepin' (Gon' catch you sleepin', put your hands up now baby)Ooh, now stay wokeNiggas creepin'Now, don't you close your eyesBut stay woke, oohNiggas creepin' (they gon' find you!)They gon' find youGon' catch you sleepin', oohNow stay wokeNiggas creepin'Now, don't you close your eyes[Outro]How'd it get so scandalous?How'd it get so scandalous?(Oh, oh, baby you, how'd it get...)How'd it get so scandalous?How'd it get so scandalous?But stay wokeBut stay woke",redbone
