,id,name,album,artist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,popularity
0,0,El Paso,Gunfighter Ballads And Trail Songs,Marty Robbins,0.452,0.16,106.662,0.03,0.835,2.89e-05,3,0.654,2,259307,-9.709,0.691,1,60
1,1,Walk - Don't Run,Walk Don't Run - All-Time Greatest Hits,The Ventures,0.861,0.22,154.928,0.0318,0.566,0.0595,4,0.466,0,126733,-8.61,0.955,1,45
2,2,Hit the Road Jack,Jazz Masters Deluxe Collection: Ray Charles,Ray Charles,0.765,0.748,171.999,0.127,0.673,0.0,4,0.608,8,117817,-8.351,0.962,0,13
3,3,Runaround Sue,Runaround Sue,Dion,0.607,0.251,79.987,0.125,0.451,0.0,4,0.364,2,171600,-9.791,0.598,1,63
4,4,Hey! Baby - Re-Recording,#1 Hits Of The 60's,Bruce Channel,0.522,0.302,130.845,0.0405,0.809,0.0,4,0.623,9,138813,-10.645,0.707,1,26
5,5,The Loco-Motion - Single Version,The Dimension Dolls,Little Eva,0.893,0.176,129.664,0.047,0.674,0.00143,4,0.636,3,148627,-6.311,0.887,1,38
6,6,Wipeout,100 Years of Surfing,The Surfaris,0.767,0.323,153.974,0.0464,0.00185,0.818,4,0.267,4,154867,-9.138,0.553,0,0
7,7,It's All Right,The Greatest Hits,The Impressions,0.508,0.339,81.979,0.194,0.359,0.0,3,0.451,1,166333,-8.767,0.617,1,32
8,8,Surfin' U.S.A. - 2001 - Remaster,10 Great Songs,The Beach Boys,0.878,0.127,159.105,0.0377,0.677,0.0,4,0.545,3,148973,-4.526,0.964,1,45
9,9,It's My Party - Re-Recording,Rock & Roll Party,Lesley Gore,0.542,0.126,133.704,0.045,0.581,0.0105,4,0.797,9,134453,-8.966,0.963,1,3
10,10,Chapel Of Love,Full Metal Jacket (Original Motion Picture Soundtrack),The Dixie Cups,0.364,0.131,123.056,0.0341,0.395,0.0,4,0.539,6,167773,-13.56,0.59,0,58
11,11,Under The Boardwalk,Under The Boardwalk,The Drifters,0.226,0.107,123.789,0.0415,0.908,0.000168,4,0.747,7,161960,-13.635,0.778,1,66
12,12,Dancing In The Street - Single Version,The Definitive Collection,Martha Reeves & The Vandellas,0.803,0.107,125.918,0.0481,0.135,6.45e-06,4,0.61,11,159000,-5.11,0.682,0,50
13,13,Where Did Our Love Go,Motown: The Complete No. 1's,The Supremes,0.566,0.0716,134.9,0.0402,0.774,1.25e-06,4,0.542,0,151853,-7.87,0.786,1,44
14,14,My Guy - Single Version,The Definitive Collection,Mary Wells,0.567,0.163,126.441,0.0488,0.678,2.41e-06,4,0.693,10,171400,-8.639,0.916,1,50
15,15,I Get Around - 2001 - Remaster,10 Great Songs,The Beach Boys,0.835,0.0692,146.028,0.0571,0.558,0.0,4,0.369,9,134453,-2.83,0.467,0,47
16,16,"Oh, Pretty Woman",The Essential Roy Orbison,Roy Orbison,0.582,0.0854,127.297,0.0355,0.725,0.0,4,0.608,9,176933,-9.734,0.952,1,66
17,17,Wishin' And Hopin',The Very Best Of Dusty Springfield,Dusty Springfield,0.407,0.164,108.035,0.0424,0.203,0.0,4,0.673,11,176493,-8.409,0.679,1,3
18,18,House Of The Rising Sun,The Best Of The Animals,The Animals,0.551,0.0823,116.997,0.0312,0.00118,0.0779,3,0.324,9,269720,-7.269,0.339,0,66
19,19,Unchained Melody,The Very Best Of The Righteous Brothers - Unchained Melody,The Righteous Brothers,0.215,0.618,98.742,0.0288,0.517,0.0,3,0.367,0,215840,-16.652,0.266,1,66
20,20,I Got You Babe - LP/Single Version,The Beat Goes On: Best Of (US Release),Sonny & Cher,0.708,0.143,110.533,0.0259,0.246,2e-06,3,0.621,6,193840,-9.057,0.624,1,64
21,21,King Of The Road - Single Version,All Time Greatest Hits,Roger Miller,0.365,0.14,118.009,0.0758,0.652,0.0,4,0.674,11,148280,-10.23,0.532,1,42
22,22,My Girl,An American Love Story,The Temptations,0.512,0.243,104.826,0.0427,0.37,0.0,4,0.592,7,176067,-6.27,0.565,1,17
23,23,Downtown - 64 Original Release With Petula Clark,Downtown,Petula Clark,0.718,0.226,118.203,0.0483,0.731,0.0,4,0.477,4,185053,-4.942,0.553,1,4
24,24,You've Lost That Lovin' Feelin',The Very Best Of The Righteous Brothers - Unchained Melody,The Righteous Brothers,0.309,0.0863,94.444,0.0265,0.504,0.0,4,0.39,1,225227,-14.12,0.459,1,56
25,25,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,Out Of Our Heads (Remastered),The Rolling Stones,0.853,0.196,136.282,0.0353,0.0348,0.127,4,0.725,2,222813,-7.842,0.904,1,68
26,26,Wooly Bully,Full Metal Jacket (Original Motion Picture Soundtrack),Sam The Sham & The Pharaohs,0.575,0.151,140.601,0.0529,0.713,3.66e-06,4,0.582,7,140867,-11.89,0.558,1,51
27,27,Like a Rolling Stone,Highway 61 Revisited,Bob Dylan,0.721,0.189,95.261,0.032,0.729,0.0,4,0.483,0,369600,-6.836,0.562,1,73
